"","Term","Ont","N","DE","P.DE"
"GO:0005829","cytosol","CC",5085,36,0.0000335893746610102
"GO:0032783","ELL-EAF complex","CC",5,2,0.000142030609749784
"GO:0017016","Ras GTPase binding","MF",429,8,0.000225541106280375
"GO:0039694","viral RNA genome replication","BP",32,3,0.000243156141963591
"GO:0033043","regulation of organelle organization","BP",1261,14,0.000261241200170227
"GO:0031267","small GTPase binding","MF",443,8,0.000280028089606177
"GO:0005515","protein binding","MF",11807,60,0.000284602971303346
"GO:1904354","negative regulation of telomere capping","BP",8,2,0.000394745504162599
"GO:0005915","zonula adherens","CC",8,2,0.000394745504162599
"GO:0043254","regulation of protein complex assembly","BP",467,8,0.000398308781299654
"GO:0005737","cytoplasm","CC",11625,59,0.000400936533598473
"GO:0046326","positive regulation of glucose import","BP",38,3,0.000406825589218223
"GO:0031748","D1 dopamine receptor binding","MF",9,2,0.000506276756364047
"GO:0004520","endodeoxyribonuclease activity","MF",41,3,0.000509876937373195
"GO:0034613","cellular protein localization","BP",1872,17,0.000568748219083767
"GO:0070727","cellular macromolecule localization","BP",1883,17,0.00060814514674202
"GO:0010828","positive regulation of glucose transmembrane transport","BP",44,3,0.000628297631169806
"GO:0000014","single-stranded DNA endodeoxyribonuclease activity","MF",10,2,0.000631283771159662
"GO:0044257","cellular protein catabolic process","BP",773,10,0.000682871595214498
"GO:0033629","negative regulation of cell adhesion mediated by integrin","BP",11,2,0.000769664967015385
