"","Term","Ont","N","DE","P.DE"
"GO:0050911","detection of chemical stimulus involved in sensory perception of smell","BP",427,242,1.13377687638689e-258
"GO:0004984","olfactory receptor activity","MF",427,242,1.13377687638689e-258
"GO:0007608","sensory perception of smell","BP",454,242,1.39350198595192e-249
"GO:0050907","detection of chemical stimulus involved in sensory perception","BP",477,246,3.15659447834548e-249
"GO:0009593","detection of chemical stimulus","BP",512,246,4.29525654875042e-239
"GO:0050906","detection of stimulus involved in sensory perception","BP",531,247,1.29146350843501e-235
"GO:0007606","sensory perception of chemical stimulus","BP",526,246,2.5479357104352e-235
"GO:0051606","detection of stimulus","BP",691,247,9.17999346774631e-201
"GO:0004930","G protein-coupled receptor activity","MF",866,251,2.68050518110531e-178
"GO:0007600","sensory perception","BP",977,252,3.4951587041389e-165
"GO:0004888","transmembrane signaling receptor activity","MF",1277,254,7.26740965797927e-137
"GO:0007186","G protein-coupled receptor signaling pathway","BP",1371,255,4.57952252593908e-130
"GO:0050877","nervous system process","BP",1437,256,6.1960152668605e-126
"GO:0038023","signaling receptor activity","MF",1484,255,1.824211412086e-121
"GO:0060089","molecular transducer activity","MF",1538,255,1.21997550419134e-117
"GO:0003008","system process","BP",2216,262,5.66599999277579e-86
"GO:0005549","odorant binding","MF",102,65,1.93793397037081e-71
"GO:0032501","multicellular organismal process","BP",7751,437,8.73504304550149e-50
"GO:0031424","keratinization","BP",224,70,2.4389090933539e-49
"GO:0030216","keratinocyte differentiation","BP",305,75,1.51580239347883e-44
