"","Term","Ont","N","DE","P.DE"
"GO:0043231","intracellular membrane-bounded organelle","CC",11488,2133,2.7327642839793e-135
"GO:0044424","intracellular part","CC",15063,2506,8.14783710849956e-127
"GO:0005622","intracellular","CC",15073,2506,3.08137576483404e-126
"GO:0043229","intracellular organelle","CC",13294,2310,3.79130774392881e-120
"GO:0005634","nucleus","CC",7932,1605,1.41079281675592e-108
"GO:0034641","cellular nitrogen compound metabolic process","BP",7161,1487,1.03029030054387e-105
"GO:0043227","membrane-bounded organelle","CC",13019,2228,8.98109692690155e-97
"GO:0043226","organelle","CC",14144,2351,2.50834873349764e-95
"GO:0005654","nucleoplasm","CC",3512,882,1.15364888587996e-94
"GO:0003676","nucleic acid binding","MF",4349,1014,8.0156108541464e-91
"GO:0006139","nucleobase-containing compound metabolic process","BP",6411,1334,1.0220268760032e-89
"GO:0046483","heterocycle metabolic process","BP",6570,1353,5.32953474321187e-88
"GO:0006725","cellular aromatic compound metabolic process","BP",6615,1354,5.87105674361863e-86
"GO:0044446","intracellular organelle part","CC",9811,1797,2.36666871888625e-84
"GO:0090304","nucleic acid metabolic process","BP",5735,1216,4.63399963866879e-84
"GO:0070013","intracellular organelle lumen","CC",5740,1216,8.76381441854158e-84
"GO:0031974","membrane-enclosed lumen","CC",5740,1216,8.76381441854158e-84
"GO:0043233","organelle lumen","CC",5740,1216,8.76381441854158e-84
"GO:0044428","nuclear part","CC",5023,1103,2.74157325638967e-83
"GO:1901360","organic cyclic compound metabolic process","BP",6839,1376,4.60552937039159e-82
