"","Term","Ont","N","DE","P.DE"
"GO:0050911","detection of chemical stimulus involved in sensory perception of smell","BP",427,246,2.2914153437861e-262
"GO:0004984","olfactory receptor activity","MF",427,246,2.2914153437861e-262
"GO:0007608","sensory perception of smell","BP",454,248,1.65956093347066e-256
"GO:0050907","detection of chemical stimulus involved in sensory perception","BP",477,252,6.35413470391637e-256
"GO:0009593","detection of chemical stimulus","BP",512,253,4.49817078379925e-247
"GO:0007606","sensory perception of chemical stimulus","BP",526,254,8.98214081142881e-245
"GO:0050906","detection of stimulus involved in sensory perception","BP",531,253,8.83603573574105e-242
"GO:0051606","detection of stimulus","BP",691,255,1.22427414722476e-208
"GO:0004930","G protein-coupled receptor activity","MF",866,261,1.14694349765876e-187
"GO:0007600","sensory perception","BP",977,263,4.38750034644352e-175
"GO:0004888","transmembrane signaling receptor activity","MF",1277,265,3.50220284840207e-145
"GO:0007186","G protein-coupled receptor signaling pathway","BP",1371,267,5.00032820998799e-139
"GO:0050877","nervous system process","BP",1437,265,1.35723472220537e-131
"GO:0038023","signaling receptor activity","MF",1484,267,6.14212877003084e-130
"GO:0060089","molecular transducer activity","MF",1538,267,6.7766487196175e-126
"GO:0003008","system process","BP",2216,275,5.18779866391278e-93
"GO:0005549","odorant binding","MF",102,65,1.16519663880934e-70
"GO:0031424","keratinization","BP",224,74,2.77489339974258e-53
"GO:0030216","keratinocyte differentiation","BP",305,78,8.00693058147341e-47
"GO:0032501","multicellular organismal process","BP",7751,439,3.65972368909285e-46
