"","Term","Ont","N","DE","P.DE"
"GO:0043231","intracellular membrane-bounded organelle","CC",11488,1726,2.50151201123547e-117
"GO:0005634","nucleus","CC",7932,1344,9.02282480698564e-111
"GO:0005622","intracellular","CC",15073,2005,1.69316616925669e-102
"GO:0044424","intracellular part","CC",15063,2004,2.36268755638867e-102
"GO:0034641","cellular nitrogen compound metabolic process","BP",7161,1234,2.31365902093351e-101
"GO:0043229","intracellular organelle","CC",13294,1853,5.42963593343846e-99
"GO:0003676","nucleic acid binding","MF",4349,873,5.40719209001129e-97
"GO:0006139","nucleobase-containing compound metabolic process","BP",6411,1122,9.84347646158129e-92
"GO:1901363","heterocyclic compound binding","MF",6241,1101,1.54226497534493e-91
"GO:0046483","heterocycle metabolic process","BP",6570,1137,4.23760402309489e-90
"GO:0090304","nucleic acid metabolic process","BP",5735,1033,4.19818718570524e-89
"GO:0097159","organic cyclic compound binding","MF",6328,1105,6.59921564049697e-89
"GO:0006725","cellular aromatic compound metabolic process","BP",6615,1137,5.84811744287833e-88
"GO:0043227","membrane-bounded organelle","CC",13019,1799,4.67070882429759e-85
"GO:0044271","cellular nitrogen compound biosynthetic process","BP",5029,934,5.15535646785412e-85
"GO:1901360","organic cyclic compound metabolic process","BP",6839,1156,5.21518185460792e-85
"GO:0005654","nucleoplasm","CC",3512,727,3.57797400009032e-83
"GO:0043226","organelle","CC",14144,1888,1.97214333319843e-80
"GO:0009059","macromolecule biosynthetic process","BP",5114,932,6.99951533911014e-80
"GO:0034645","cellular macromolecule biosynthetic process","BP",4961,911,2.72702521698414e-79
