"","Term","Ont","N","DE","P.DE"
"GO:0044424","intracellular part","CC",15063,497,0.000000000000000000000000070728994496117
"GO:0005622","intracellular","CC",15073,497,0.0000000000000000000000000905751475874065
"GO:0043231","intracellular membrane-bounded organelle","CC",11488,413,0.000000000000000000000264000071366341
"GO:0034641","cellular nitrogen compound metabolic process","BP",7161,297,0.00000000000000000000276974213854129
"GO:0043229","intracellular organelle","CC",13294,446,0.000000000000000000711560176233761
"GO:0034470","ncRNA processing","BP",384,47,0.00000000000000000212033198187028
"GO:0003676","nucleic acid binding","MF",4349,203,0.00000000000000000319971745602838
"GO:0043227","membrane-bounded organelle","CC",13019,438,0.00000000000000000361613013099488
"GO:0005634","nucleus","CC",7932,308,0.0000000000000000127663974435237
"GO:0006413","translational initiation","BP",193,33,0.0000000000000000130243979644255
"GO:0034660","ncRNA metabolic process","BP",562,56,0.0000000000000000149918315656746
"GO:0090304","nucleic acid metabolic process","BP",5735,244,0.0000000000000000187811231728989
"GO:0043226","organelle","CC",14144,461,0.0000000000000000202679770966196
"GO:0003723","RNA binding","MF",1950,116,0.0000000000000000522398177677609
"GO:0006139","nucleobase-containing compound metabolic process","BP",6411,262,0.0000000000000000909809844435265
"GO:0000956","nuclear-transcribed mRNA catabolic process","BP",207,33,0.00000000000000011443719687716
"GO:0005654","nucleoplasm","CC",3512,171,0.00000000000000012023706672289
"GO:0046483","heterocycle metabolic process","BP",6570,266,0.000000000000000146178213561303
"GO:0044237","cellular metabolic process","BP",11301,392,0.000000000000000263601201479979
"GO:1901360","organic cyclic compound metabolic process","BP",6839,272,0.000000000000000533577997405746
