"","Term","Ont","N","DE","P.DE"
"GO:0048621","post-embryonic digestive tract morphogenesis","BP",1,1,0.000292854353768135
"GO:0002317","plasma cell differentiation","BP",4,1,0.00117098863159826
"GO:0048537","mucosal-associated lymphoid tissue development","BP",7,1,0.00204848002721969
"GO:0048541","Peyer's patch development","BP",7,1,0.00204848002721969
"GO:0061408","positive regulation of transcription from RNA polymerase II promoter in response to heat stress","BP",10,1,0.00292532891721076
"GO:0009886","post-embryonic animal morphogenesis","BP",12,1,0.00350953808218801
"GO:0048535","lymph node development","BP",17,1,0.00496881314162301
"GO:0002313","mature B cell differentiation involved in immune response","BP",19,1,0.00555202431670199
"GO:0050911","detection of chemical stimulus involved in sensory perception of smell","BP",427,2,0.00614921644377345
"GO:0004984","olfactory receptor activity","MF",427,2,0.00614921644377345
"GO:0007608","sensory perception of smell","BP",454,2,0.00692781628197267
"GO:0002335","mature B cell differentiation","BP",25,1,0.00729994895137087
"GO:0050907","detection of chemical stimulus involved in sensory perception","BP",477,2,0.00762526839242699
"GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific","MF",1600,3,0.00794285163007749
"GO:0009593","detection of chemical stimulus","BP",512,2,0.00874625672207704
"GO:0007606","sensory perception of chemical stimulus","BP",526,2,0.00921460324241862
"GO:0050906","detection of stimulus involved in sensory perception","BP",531,2,0.00938461149842926
"GO:0003700","DNA-binding transcription factor activity","MF",1699,3,0.00940296001874857
"GO:0036003","positive regulation of transcription from RNA polymerase II promoter in response to stress","BP",33,1,0.00962653187424256
"GO:0048536","spleen development","BP",33,1,0.00962653187424256
