"","Term","Ont","N","DE","P.DE"
"GO:0050911","detection of chemical stimulus involved in sensory perception of smell","BP",427,56,1.37634023658761e-57
"GO:0004984","olfactory receptor activity","MF",427,56,1.37634023658761e-57
"GO:0007608","sensory perception of smell","BP",454,56,4.83000281342494e-56
"GO:0050907","detection of chemical stimulus involved in sensory perception","BP",477,56,8.36304098341007e-55
"GO:0009593","detection of chemical stimulus","BP",512,56,4.8538585431695e-53
"GO:0007606","sensory perception of chemical stimulus","BP",526,56,2.26350892663971e-52
"GO:0050906","detection of stimulus involved in sensory perception","BP",531,56,3.88040123776307e-52
"GO:0051606","detection of stimulus","BP",691,57,4.90405069675474e-47
"GO:0004930","G protein-coupled receptor activity","MF",866,56,2.51905738083452e-40
"GO:0007600","sensory perception","BP",977,57,1.15587633769153e-38
"GO:0004888","transmembrane signaling receptor activity","MF",1277,59,0.000000000000000000000000000000000164705232127853
"GO:0038023","signaling receptor activity","MF",1484,59,0.000000000000000000000000000000602274829590836
"GO:0007186","G protein-coupled receptor signaling pathway","BP",1371,57,0.000000000000000000000000000000885777465658022
"GO:0060089","molecular transducer activity","MF",1538,59,0.00000000000000000000000000000413586513146502
"GO:0050877","nervous system process","BP",1437,57,0.0000000000000000000000000000103320208638598
"GO:0005549","odorant binding","MF",102,23,0.0000000000000000000000000000530764578949933
"GO:0003008","system process","BP",2216,57,0.0000000000000000000283271272855224
"GO:0005882","intermediate filament","CC",214,21,0.00000000000000000126192223000449
"GO:0045111","intermediate filament cytoskeleton","CC",251,21,0.000000000000000034116743974964
"GO:0031424","keratinization","BP",224,19,0.000000000000000938465996953073
