"","Term","Ont","N","DE","P.DE"
"GO:0050911","detection of chemical stimulus involved in sensory perception of smell","BP",427,263,7.97561260360448e-275
"GO:0004984","olfactory receptor activity","MF",427,263,7.97561260360448e-275
"GO:0007608","sensory perception of smell","BP",454,265,6.3757529264095e-268
"GO:0050907","detection of chemical stimulus involved in sensory perception","BP",477,267,3.89869503215451e-263
"GO:0009593","detection of chemical stimulus","BP",512,269,5.64892998049627e-255
"GO:0007606","sensory perception of chemical stimulus","BP",526,269,1.07266487953673e-250
"GO:0050906","detection of stimulus involved in sensory perception","BP",531,268,1.27722938799313e-247
"GO:0051606","detection of stimulus","BP",691,270,1.12756300465746e-211
"GO:0004930","G protein-coupled receptor activity","MF",866,275,2.74180904150801e-187
"GO:0007600","sensory perception","BP",977,280,2.53942144867855e-177
"GO:0004888","transmembrane signaling receptor activity","MF",1277,281,3.01788260227079e-144
"GO:0050877","nervous system process","BP",1437,287,1.00278802326329e-135
"GO:0007186","G protein-coupled receptor signaling pathway","BP",1371,281,1.40288711056033e-135
"GO:0038023","signaling receptor activity","MF",1484,284,6.08636447815344e-129
"GO:0060089","molecular transducer activity","MF",1538,284,1.11542932012339e-124
"GO:0003008","system process","BP",2216,301,2.48651152208418e-96
"GO:0005549","odorant binding","MF",102,69,1.18756516096286e-73
"GO:0031424","keratinization","BP",224,77,1.64455774934536e-52
"GO:0032501","multicellular organismal process","BP",7751,501,2.91231471058348e-52
"GO:0030216","keratinocyte differentiation","BP",305,83,1.64941509427255e-47
