"","Term","Ont","N","DE","P.DE"
"GO:0050911","detection of chemical stimulus involved in sensory perception of smell","BP",427,228,7.26262653209851e-255
"GO:0004984","olfactory receptor activity","MF",427,228,7.26262653209851e-255
"GO:0007608","sensory perception of smell","BP",454,230,4.38748376443971e-250
"GO:0050907","detection of chemical stimulus involved in sensory perception","BP",477,231,3.38251516397644e-245
"GO:0009593","detection of chemical stimulus","BP",512,232,1.40664892400058e-237
"GO:0007606","sensory perception of chemical stimulus","BP",526,233,9.31875631106751e-236
"GO:0050906","detection of stimulus involved in sensory perception","BP",531,232,7.29992472839787e-233
"GO:0051606","detection of stimulus","BP",691,233,5.07164643507707e-202
"GO:0004930","G protein-coupled receptor activity","MF",866,235,8.62099657998989e-179
"GO:0007600","sensory perception","BP",977,238,3.20146495871239e-169
"GO:0004888","transmembrane signaling receptor activity","MF",1277,238,2.87206929133125e-140
"GO:0007186","G protein-coupled receptor signaling pathway","BP",1371,237,8.85464248236232e-132
"GO:0050877","nervous system process","BP",1437,240,3.67435718352679e-130
"GO:0038023","signaling receptor activity","MF",1484,239,8.5966732576419e-126
"GO:0060089","molecular transducer activity","MF",1538,239,3.74332953381073e-122
"GO:0003008","system process","BP",2216,246,1.52536136999648e-92
"GO:0005549","odorant binding","MF",102,63,8.78267589979768e-73
"GO:0032501","multicellular organismal process","BP",7751,384,1.91944755676571e-50
"GO:0031424","keratinization","BP",224,64,4.44961797398773e-47
"GO:0030216","keratinocyte differentiation","BP",305,69,2.35390134163593e-43
