"","Term","Ont","N","DE","P.DE"
"GO:0005634","nucleus","CC",7932,834,1.26627366157776e-64
"GO:0005654","nucleoplasm","CC",3512,477,6.61888432135315e-60
"GO:0003676","nucleic acid binding","MF",4349,549,6.93224094442307e-60
"GO:0019219","regulation of nucleobase-containing compound metabolic process","BP",4140,524,9.8467662382204e-57
"GO:0044260","cellular macromolecule metabolic process","BP",8352,840,2.3054408856237e-55
"GO:0003677","DNA binding","MF",2518,370,1.13205848715209e-52
"GO:0044424","intracellular part","CC",15063,1231,2.84346203412258e-51
"GO:0005622","intracellular","CC",15073,1231,5.08040690243471e-51
"GO:0043229","intracellular organelle","CC",13294,1135,3.80578904700962e-50
"GO:0051252","regulation of RNA metabolic process","BP",3822,478,6.60550340659241e-49
"GO:0090304","nucleic acid metabolic process","BP",5735,631,1.91405099273974e-48
"GO:0034645","cellular macromolecule biosynthetic process","BP",4961,570,2.85680865552431e-48
"GO:0043231","intracellular membrane-bounded organelle","CC",11488,1024,5.25782022035657e-48
"GO:0006139","nucleobase-containing compound metabolic process","BP",6411,679,2.59368600735278e-47
"GO:1901363","heterocyclic compound binding","MF",6241,666,3.28821869892082e-47
"GO:0009059","macromolecule biosynthetic process","BP",5114,577,2.27683263673622e-46
"GO:0097159","organic cyclic compound binding","MF",6328,670,2.58149011454478e-46
"GO:0097659","nucleic acid-templated transcription","BP",3716,462,3.86018033334485e-46
"GO:0006366","transcription by RNA polymerase II","BP",2818,383,4.34499029695232e-46
"GO:0006351","transcription, DNA-templated","BP",3668,457,8.77070112284267e-46
