"","Term","Ont","N","DE","P.DE"
"GO:0050911","detection of chemical stimulus involved in sensory perception of smell","BP",427,230,3.2684161909771e-232
"GO:0004984","olfactory receptor activity","MF",427,230,3.2684161909771e-232
"GO:0007608","sensory perception of smell","BP",454,231,1.79132352516043e-225
"GO:0050907","detection of chemical stimulus involved in sensory perception","BP",477,234,1.12142081833421e-223
"GO:0009593","detection of chemical stimulus","BP",512,235,7.58467474359025e-216
"GO:0007606","sensory perception of chemical stimulus","BP",526,235,2.51390879756426e-212
"GO:0050906","detection of stimulus involved in sensory perception","BP",531,235,4.22187934534777e-211
"GO:0051606","detection of stimulus","BP",691,236,5.01244424018537e-180
"GO:0004930","G protein-coupled receptor activity","MF",866,240,5.14654347499981e-159
"GO:0007600","sensory perception","BP",977,245,2.65425865501613e-151
"GO:0004888","transmembrane signaling receptor activity","MF",1277,243,3.36683752479632e-120
"GO:0007186","G protein-coupled receptor signaling pathway","BP",1371,244,7.67209980717951e-114
"GO:0050877","nervous system process","BP",1437,249,1.00291543934922e-113
"GO:0038023","signaling receptor activity","MF",1484,246,1.2388468946757e-107
"GO:0060089","molecular transducer activity","MF",1538,248,8.01528258929941e-106
"GO:0003008","system process","BP",2216,263,1.48139256087622e-81
"GO:0005549","odorant binding","MF",102,64,2.21119253947917e-68
"GO:0032501","multicellular organismal process","BP",7751,441,5.70489307235587e-44
"GO:0031424","keratinization","BP",224,63,4.0162808662163e-40
"GO:0030216","keratinocyte differentiation","BP",305,69,3.43658792273079e-37
