gene,annot
ACSL3,Oncogene
ACSL6,Oncogene
AFDN,Oncogene
AFF1,Oncogene
AFF3,Oncogene
AFF4,Oncogene
AKAP9,Oncogene
AKT1,Oncogene
AKT2,Oncogene
ALK,Oncogene
ARHGAP26,Oncogene
ARHGEF12,Oncogene
ARNT,Oncogene
ASPSCR1,Oncogene
ATF1,Oncogene
ATIC,Oncogene
BCL10,Oncogene
BCL11A,Oncogene
BCL11B,Oncogene
BCL2,Oncogene
BCL3,Oncogene
BCL6,Oncogene
BCL7A,Oncogene
BCL9,Oncogene
BCR,Oncogene
BIRC3,Oncogene
BRAF,Oncogene
BRD3,Oncogene
BRD4,Oncogene
BTG1,Oncogene
CANT1,Oncogene
CARD11,Oncogene
CARS1,Oncogene
CBFA2T3,Oncogene
CBFB,Oncogene
CCDC6,Oncogene
CCNB1IP1,Oncogene
CCND1,Oncogene
CCND2,Oncogene
CCND3,Oncogene
CD74,Oncogene
CD79A,Oncogene
CD79B,Oncogene
CDH11,Oncogene
CDK4,Oncogene
CDK6,Oncogene
CDX2,Oncogene
CEBPA,Oncogene
CEP43,Oncogene
CHCHD7,Oncogene
CHIC2,Oncogene
CHN1,Oncogene
CIC,Oncogene
CIITA,Oncogene
CLP1,Oncogene
CLTC,Oncogene
CLTCL1,Oncogene
CNBP,Oncogene
CNTRL,Oncogene
COL1A1,Oncogene
COX6C,Oncogene
CREB1,Oncogene
CREB3L2,Oncogene
CREBBP,Oncogene
CRLF2,Oncogene
CRTC1,Oncogene
CRTC3,Oncogene
CTNNB1,Oncogene
DDIT3,Oncogene
DDX10,Oncogene
DDX5,Oncogene
DDX6,Oncogene
DEK,Oncogene
DUX4,Oncogene
EGFR,Oncogene
EIF4A2,Oncogene
ELF4,Oncogene
ELK4,Oncogene
ELL,Oncogene
ELN,Oncogene
EML4,Oncogene
EPS15,Oncogene
ERBB2,Oncogene
ERC1,Oncogene
ERG,Oncogene
ETV1,Oncogene
ETV4,Oncogene
ETV5,Oncogene
ETV6,Oncogene
EWSR1,Oncogene
FCGR2B,Oncogene
FCRL4,Oncogene
FEV,Oncogene
FGFR1,Oncogene
FGFR2,Oncogene
FGFR3,Oncogene
FIP1L1,Oncogene
FLI1,Oncogene
FLT3,Oncogene
FNBP1,Oncogene
FOXL2,Oncogene
FOXO1,Oncogene
FOXO3,Oncogene
FOXO4,Oncogene
FOXP1,Oncogene
FSTL3,Oncogene
FUS,Oncogene
GAS7,Oncogene
GATA1,Oncogene
GATA2,Oncogene
GMPS,Oncogene
GNAQ,Oncogene
GNAS,Oncogene
GOLGA5,Oncogene
GOPC,Oncogene
GPHN,Oncogene
H4C9,Oncogene
HERPUD1,Oncogene
HIP1,Oncogene
HLF,Oncogene
HMGA1,Oncogene
HMGA2,Oncogene
HMGN2P46,Oncogene
HNRNPA2B1,Oncogene
HOOK3,Oncogene
HOXA11,Oncogene
HOXA13,Oncogene
HOXA9,Oncogene
HOXC11,Oncogene
HOXC13,Oncogene
HOXD11,Oncogene
HOXD13,Oncogene
HRAS,Oncogene
HSP90AA1,Oncogene
HSP90AB1,Oncogene
IDH1,Oncogene
IDH2,Oncogene
IKZF1,Oncogene
IL2,Oncogene
IL21R,Oncogene
IL6ST,Oncogene
IRF4,Oncogene
ITK,Oncogene
JAK1,Oncogene
JAK2,Oncogene
JAK3,Oncogene
JAZF1,Oncogene
JUN,Oncogene
KAT6A,Oncogene
KAT6B,Oncogene
KDM5A,Oncogene
KDR,Oncogene
KDSR,Oncogene
KIAA1549,Oncogene
KIT,Oncogene
KLK2,Oncogene
KMT2A,Oncogene
KNL1,Oncogene
KRAS,Oncogene
KTN1,Oncogene
LASP1,Oncogene
LCK,Oncogene
LCP1,Oncogene
LHFPL6,Oncogene
LIFR,Oncogene
LMO1,Oncogene
LMO2,Oncogene
LPP,Oncogene
LYL1,Oncogene
MAF,Oncogene
MAFB,Oncogene
MALAT1,Oncogene
MALT1,Oncogene
MAML2,Oncogene
MDM2,Oncogene
MDM4,Oncogene
MDS2,Oncogene
MECOM,Oncogene
MET,Oncogene
MITF,Oncogene
MLF1,Oncogene
MLLT1,Oncogene
MLLT10,Oncogene
MLLT11,Oncogene
MLLT3,Oncogene
MLLT6,Oncogene
MN1,Oncogene
MNX1,Oncogene
MPL,Oncogene
MRTFA,Oncogene
MSI2,Oncogene
MSN,Oncogene
MTCP1,Oncogene
MUC1,Oncogene
MYB,Oncogene
MYC,Oncogene
MYCL,Oncogene
MYCN,Oncogene
MYH11,Oncogene
MYH9,Oncogene
NACA,Oncogene
NCKIPSD,Oncogene
NCOA1,Oncogene
NCOA2,Oncogene
NCOA4,Oncogene
NFIB,Oncogene
NFKB2,Oncogene
NIN,Oncogene
NONO,Oncogene
NOTCH1,Oncogene
NOTCH2,Oncogene
NPM1,Oncogene
NR4A3,Oncogene
NRAS,Oncogene
NSD1,Oncogene
NSD2,Oncogene
NSD3,Oncogene
NTRK1,Oncogene
NTRK3,Oncogene
NUMA1,Oncogene
NUP214,Oncogene
NUP98,Oncogene
NUTM1,Oncogene
OLIG2,Oncogene
OMD,Oncogene
P2RY8,Oncogene
PAFAH1B2,Oncogene
PATZ1,Oncogene
PAX3,Oncogene
PAX5,Oncogene
PAX7,Oncogene
PAX8,Oncogene
PBX1,Oncogene
PCM1,Oncogene
PCSK7,Oncogene
PDE4DIP,Oncogene
PDGFB,Oncogene
PDGFRA,Oncogene
PDGFRB,Oncogene
PER1,Oncogene
PICALM,Oncogene
PIK3CA,Oncogene
PIM1,Oncogene
PLAG1,Oncogene
PML,Oncogene
POU2AF1,Oncogene
POU5F1,Oncogene
PPARG,Oncogene
PRCC,Oncogene
PRDM16,Oncogene
PRRX1,Oncogene
PSIP1,Oncogene
PTPN11,Oncogene
RABEP1,Oncogene
RAD51B,Oncogene
RAF1,Oncogene
RANBP17,Oncogene
RAP1GDS1,Oncogene
RARA,Oncogene
RBM15,Oncogene
REL,Oncogene
RET,Oncogene
RHOH,Oncogene
RNF213,Oncogene
RNF217-AS1,Oncogene
ROS1,Oncogene
RPL22,Oncogene
RPN1,Oncogene
RUNX1,Oncogene
RUNX1T1,Oncogene
SEPTIN5,Oncogene
SEPTIN6,Oncogene
SEPTIN9,Oncogene
SET,Oncogene
SFPQ,Oncogene
SH3GL1,Oncogene
SLC45A3,Oncogene
SMO,Oncogene
SPECC1,Oncogene
SRGAP3,Oncogene
SRSF3,Oncogene
SS18,Oncogene
SS18L1,Oncogene
SSX1,Oncogene
SSX2,Oncogene
SSX4,Oncogene
STIL,Oncogene
SUZ12,Oncogene
SYK,Oncogene
TAF15,Oncogene
TAL1,Oncogene
TAL2,Oncogene
TCEA1,Oncogene
TCF12,Oncogene
TCF3,Oncogene
TCL1A,Oncogene
TCL6,Oncogene
TET1,Oncogene
TFE3,Oncogene
TFEB,Oncogene
TFG,Oncogene
TFPT,Oncogene
TFRC,Oncogene
THRAP3,Oncogene
TLX1,Oncogene
TLX3,Oncogene
TMPRSS2,Oncogene
TNFRSF17,Oncogene
TOP1,Oncogene
TPM3,Oncogene
TPM4,Oncogene
TPR,Oncogene
TRIM24,Oncogene
TRIM27,Oncogene
TRIM33,Oncogene
TRIP11,Oncogene
TSHR,Oncogene
TTL,Oncogene
USP6,Oncogene
ZBTB16,Oncogene
ZMYM2,Oncogene
ZNF331,Oncogene
ZNF384,Oncogene
ZNF521,Oncogene
ABI1,Translocated
ABL1,Translocated
ABL2,Translocated
ACKR3,Translocated
ACSL3,Translocated
ACSL6,Translocated
AFDN,Translocated
AFF1,Translocated
AFF3,Translocated
AFF4,Translocated
AKAP9,Translocated
ALK,Translocated
ARHGAP26,Translocated
ARHGEF12,Translocated
ARNT,Translocated
ASPSCR1,Translocated
ATF1,Translocated
ATIC,Translocated
BCL10,Translocated
BCL11A,Translocated
BCL11B,Translocated
BCL2,Translocated
BCL3,Translocated
BCL6,Translocated
BCL7A,Translocated
BCL9,Translocated
BCR,Translocated
BIRC3,Translocated
BRAF,Translocated
BRD3,Translocated
BRD4,Translocated
BTG1,Translocated
CANT1,Translocated
CARS1,Translocated
CBFA2T3,Translocated
CBFB,Translocated
CBL,Translocated
CCDC6,Translocated
CCNB1IP1,Translocated
CCND1,Translocated
CCND2,Translocated
CCND3,Translocated
CD74,Translocated
CDH11,Translocated
CDK6,Translocated
CDX2,Translocated
CEP43,Translocated
CHCHD7,Translocated
CHIC2,Translocated
CHN1,Translocated
CIC,Translocated
CIITA,Translocated
CLP1,Translocated
CLTC,Translocated
CLTCL1,Translocated
CNBP,Translocated
CNTRL,Translocated
COL1A1,Translocated
COX6C,Translocated
CREB1,Translocated
CREB3L2,Translocated
CREBBP,Translocated
CRLF2,Translocated
CRTC1,Translocated
CRTC3,Translocated
CTNNB1,Translocated
DDIT3,Translocated
DDX10,Translocated
DDX5,Translocated
DDX6,Translocated
DEK,Translocated
DUX4,Translocated
EIF4A2,Translocated
ELF4,Translocated
ELK4,Translocated
ELL,Translocated
ELN,Translocated
EML4,Translocated
EP300,Translocated
EPS15,Translocated
ERC1,Translocated
ERG,Translocated
ETV1,Translocated
ETV4,Translocated
ETV5,Translocated
ETV6,Translocated
EWSR1,Translocated
FCGR2B,Translocated
FCRL4,Translocated
FEV,Translocated
FGFR1,Translocated
FGFR3,Translocated
FIP1L1,Translocated
FLI1,Translocated
FNBP1,Translocated
FOXO1,Translocated
FOXO3,Translocated
FOXO4,Translocated
FOXP1,Translocated
FSTL3,Translocated
FUS,Translocated
GAS7,Translocated
GMPS,Translocated
GOLGA5,Translocated
GPC3,Translocated
GPHN,Translocated
H4C9,Translocated
HERPUD1,Translocated
HIP1,Translocated
HLF,Translocated
HMGA1,Translocated
HMGA2,Translocated
HMGN2P46,Translocated
HNRNPA2B1,Translocated
HOOK3,Translocated
HOXA11,Translocated
HOXA13,Translocated
HOXA9,Translocated
HOXC11,Translocated
HOXC13,Translocated
HOXD11,Translocated
HOXD13,Translocated
HSP90AA1,Translocated
HSP90AB1,Translocated
IKZF1,Translocated
IL2,Translocated
IL21R,Translocated
IRF4,Translocated
ITK,Translocated
JAK2,Translocated
JAZF1,Translocated
KAT6A,Translocated
KAT6B,Translocated
KDM5A,Translocated
KDSR,Translocated
KLK2,Translocated
KMT2A,Translocated
KNL1,Translocated
KTN1,Translocated
LASP1,Translocated
LCK,Translocated
LCP1,Translocated
LHFPL6,Translocated
LIFR,Translocated
LMO1,Translocated
LMO2,Translocated
LPP,Translocated
LYL1,Translocated
MAF,Translocated
MAFB,Translocated
MALAT1,Translocated
MALT1,Translocated
MAML2,Translocated
MDS2,Translocated
MECOM,Translocated
MLF1,Translocated
MLLT1,Translocated
MLLT10,Translocated
MLLT11,Translocated
MLLT3,Translocated
MLLT6,Translocated
MN1,Translocated
MNX1,Translocated
MRTFA,Translocated
MSI2,Translocated
MSN,Translocated
MTCP1,Translocated
MUC1,Translocated
MYB,Translocated
MYC,Translocated
MYH11,Translocated
MYH9,Translocated
NACA,Translocated
NCKIPSD,Translocated
NCOA1,Translocated
NCOA2,Translocated
NCOA4,Translocated
NFIB,Translocated
NFKB2,Translocated
NIN,Translocated
NONO,Translocated
NOTCH1,Translocated
NPM1,Translocated
NR4A3,Translocated
NSD1,Translocated
NSD2,Translocated
NSD3,Translocated
NTRK1,Translocated
NTRK3,Translocated
NUMA1,Translocated
NUP214,Translocated
NUP98,Translocated
NUTM1,Translocated
OLIG2,Translocated
OMD,Translocated
P2RY8,Translocated
PAFAH1B2,Translocated
PATZ1,Translocated
PAX3,Translocated
PAX5,Translocated
PAX7,Translocated
PAX8,Translocated
PBX1,Translocated
PCM1,Translocated
PCSK7,Translocated
PDE4DIP,Translocated
PDGFB,Translocated
PDGFRA,Translocated
PDGFRB,Translocated
PER1,Translocated
PICALM,Translocated
PIM1,Translocated
PLAG1,Translocated
PML,Translocated
POU2AF1,Translocated
POU5F1,Translocated
PPARG,Translocated
PRCC,Translocated
PRDM16,Translocated
PRKAR1A,Translocated
PRRX1,Translocated
PSIP1,Translocated
RABEP1,Translocated
RAD51B,Translocated
RAF1,Translocated
RANBP17,Translocated
RAP1GDS1,Translocated
RARA,Translocated
RBM15,Translocated
RET,Translocated
RHOH,Translocated
RNF213,Translocated
RNF217-AS1,Translocated
ROS1,Translocated
RPL22,Translocated
RPN1,Translocated
RUNX1,Translocated
RUNX1T1,Translocated
SEPTIN5,Translocated
SEPTIN6,Translocated
SEPTIN9,Translocated
SET,Translocated
SFPQ,Translocated
SH3GL1,Translocated
SLC45A3,Translocated
SPECC1,Translocated
SRGAP3,Translocated
SRSF3,Translocated
SS18,Translocated
SS18L1,Translocated
SSX1,Translocated
SSX2,Translocated
SSX4,Translocated
STIL,Translocated
SUZ12,Translocated
SYK,Translocated
TAF15,Translocated
TAL1,Translocated
TAL2,Translocated
TCEA1,Translocated
TCF12,Translocated
TCF3,Translocated
TCL1A,Translocated
TCL6,Translocated
TET1,Translocated
TFE3,Translocated
TFEB,Translocated
TFG,Translocated
TFPT,Translocated
TFRC,Translocated
THRAP3,Translocated
TLX1,Translocated
TLX3,Translocated
TMPRSS2,Translocated
TNFRSF17,Translocated
TOP1,Translocated
TPM3,Translocated
TPM4,Translocated
TPR,Translocated
TRIM24,Translocated
TRIM27,Translocated
TRIM33,Translocated
TRIP11,Translocated
TTL,Translocated
USP6,Translocated
ZBTB16,Translocated
ZMYM2,Translocated
ZNF331,Translocated
ZNF384,Translocated
ZNF521,Translocated
AAK1,ProteinKinases
AATK,ProteinKinases
ABL1,ProteinKinases
ABL2,ProteinKinases
ACVR1,ProteinKinases
ACVR1B,ProteinKinases
ACVR1C,ProteinKinases
ACVR2A,ProteinKinases
ACVR2B,ProteinKinases
ACVRL1,ProteinKinases
ADCK1,ProteinKinases
ADCK2,ProteinKinases
ADCK5,ProteinKinases
AKT1,ProteinKinases
AKT2,ProteinKinases
AKT3,ProteinKinases
ALK,ProteinKinases
ALPK1,ProteinKinases
ALPK2,ProteinKinases
ALPK3,ProteinKinases
AMHR2,ProteinKinases
ANKK1,ProteinKinases
ARAF,ProteinKinases
ATM,ProteinKinases
ATR,ProteinKinases
AURKA,ProteinKinases
AURKB,ProteinKinases
AURKC,ProteinKinases
AXL,ProteinKinases
BCKDK,ProteinKinases
BCR,ProteinKinases
BLK,ProteinKinases
BMP2K,ProteinKinases
BMPR1A,ProteinKinases
BMPR1B,ProteinKinases
BMPR2,ProteinKinases
BMX,ProteinKinases
BRAF,ProteinKinases
BRD2,ProteinKinases
BRD3,ProteinKinases
BRD4,ProteinKinases
BRDT,ProteinKinases
BRSK1,ProteinKinases
BRSK2,ProteinKinases
BTK,ProteinKinases
BUB1,ProteinKinases
BUB1B,ProteinKinases
CAMK1,ProteinKinases
CAMK1D,ProteinKinases
CAMK1G,ProteinKinases
CAMK2A,ProteinKinases
CAMK2B,ProteinKinases
CAMK2D,ProteinKinases
CAMK2G,ProteinKinases
CAMK4,ProteinKinases
CAMKK1,ProteinKinases
CAMKK2,ProteinKinases
CAMKV,ProteinKinases
CASK,ProteinKinases
CDC42BPA,ProteinKinases
CDC42BPB,ProteinKinases
CDC42BPG,ProteinKinases
CDC7,ProteinKinases
CDK1,ProteinKinases
CDK10,ProteinKinases
CDK11A,ProteinKinases
CDK12,ProteinKinases
CDK13,ProteinKinases
CDK14,ProteinKinases
CDK15,ProteinKinases
CDK16,ProteinKinases
CDK17,ProteinKinases
CDK18,ProteinKinases
CDK19,ProteinKinases
CDK2,ProteinKinases
CDK20,ProteinKinases
CDK3,ProteinKinases
CDK4,ProteinKinases
CDK5,ProteinKinases
CDK6,ProteinKinases
CDK7,ProteinKinases
CDK8,ProteinKinases
CDK9,ProteinKinases
CDKL1,ProteinKinases
CDKL2,ProteinKinases
CDKL3,ProteinKinases
CDKL4,ProteinKinases
CDKL5,ProteinKinases
CHEK1,ProteinKinases
CHEK2,ProteinKinases
CHUK,ProteinKinases
CILK1,ProteinKinases
CIT,ProteinKinases
CLK1,ProteinKinases
CLK2,ProteinKinases
CLK3,ProteinKinases
CLK4,ProteinKinases
CLUL1,ProteinKinases
COQ8A,ProteinKinases
CSF1R,ProteinKinases
CSK,ProteinKinases
CSNK1A1,ProteinKinases
CSNK1A1L,ProteinKinases
CSNK1D,ProteinKinases
CSNK1E,ProteinKinases
CSNK1G1,ProteinKinases
CSNK1G2,ProteinKinases
CSNK1G3,ProteinKinases
CSNK2A1,ProteinKinases
CSNK2A2,ProteinKinases
DAPK1,ProteinKinases
DAPK2,ProteinKinases
DAPK3,ProteinKinases
DCLK1,ProteinKinases
DCLK2,ProteinKinases
DCLK3,ProteinKinases
DDR1,ProteinKinases
DDR2,ProteinKinases
DMPK,ProteinKinases
DSTYK,ProteinKinases
DYRK1A,ProteinKinases
DYRK1B,ProteinKinases
DYRK2,ProteinKinases
DYRK3,ProteinKinases
DYRK4,ProteinKinases
EEF2K,ProteinKinases
EGFR,ProteinKinases
EIF2AK1,ProteinKinases
EIF2AK2,ProteinKinases
EIF2AK3,ProteinKinases
EIF2AK4,ProteinKinases
EPHA1,ProteinKinases
EPHA10,ProteinKinases
EPHA2,ProteinKinases
EPHA3,ProteinKinases
EPHA4,ProteinKinases
EPHA5,ProteinKinases
EPHA6,ProteinKinases
EPHA7,ProteinKinases
EPHA8,ProteinKinases
EPHB1,ProteinKinases
EPHB2,ProteinKinases
EPHB3,ProteinKinases
EPHB4,ProteinKinases
EPHB6,ProteinKinases
ERBB2,ProteinKinases
ERBB3,ProteinKinases
ERBB4,ProteinKinases
ERN1,ProteinKinases
ERN2,ProteinKinases
FASTK,ProteinKinases
FER,ProteinKinases
FES,ProteinKinases
FGFR1,ProteinKinases
FGFR2,ProteinKinases
FGFR3,ProteinKinases
FGFR4,ProteinKinases
FGR,ProteinKinases
FLT1,ProteinKinases
FLT3,ProteinKinases
FLT4,ProteinKinases
FRK,ProteinKinases
FYN,ProteinKinases
GAK,ProteinKinases
GRK1,ProteinKinases
GRK2,ProteinKinases
GRK3,ProteinKinases
GRK4,ProteinKinases
GRK5,ProteinKinases
GRK6,ProteinKinases
GRK7,ProteinKinases
GSK3A,ProteinKinases
GSK3B,ProteinKinases
GUCY2C,ProteinKinases
GUCY2D,ProteinKinases
GUCY2F,ProteinKinases
HASPIN,ProteinKinases
HCK,ProteinKinases
HIPK1,ProteinKinases
HIPK2,ProteinKinases
HIPK3,ProteinKinases
HIPK4,ProteinKinases
HSPB8,ProteinKinases
HUNK,ProteinKinases
IGF1R,ProteinKinases
IKBKB,ProteinKinases
IKBKE,ProteinKinases
ILK,ProteinKinases
IMPDH1P11,ProteinKinases
IMPG1,ProteinKinases
INSR,ProteinKinases
INSRR,ProteinKinases
IRAK1,ProteinKinases
IRAK2,ProteinKinases
IRAK3,ProteinKinases
IRAK4,ProteinKinases
ITK,ProteinKinases
KALRN,ProteinKinases
KDR,ProteinKinases
KIT,ProteinKinases
KSR1,ProteinKinases
KSR2,ProteinKinases
LATS1,ProteinKinases
LATS2,ProteinKinases
LCK,ProteinKinases
LIMK1,ProteinKinases
LIMK2,ProteinKinases
LMTK2,ProteinKinases
LMTK3,ProteinKinases
LRRK1,ProteinKinases
LRRK2,ProteinKinases
LTK,ProteinKinases
LYN,ProteinKinases
MAK,ProteinKinases
MAP2K1,ProteinKinases
MAP2K2,ProteinKinases
MAP2K3,ProteinKinases
MAP2K4,ProteinKinases
MAP2K5,ProteinKinases
MAP2K6,ProteinKinases
MAP2K7,ProteinKinases
MAP3K1,ProteinKinases
MAP3K10,ProteinKinases
MAP3K11,ProteinKinases
MAP3K12,ProteinKinases
MAP3K13,ProteinKinases
MAP3K14,ProteinKinases
MAP3K15,ProteinKinases
MAP3K19,ProteinKinases
MAP3K2,ProteinKinases
MAP3K20,ProteinKinases
MAP3K21,ProteinKinases
MAP3K3,ProteinKinases
MAP3K4,ProteinKinases
MAP3K5,ProteinKinases
MAP3K6,ProteinKinases
MAP3K7,ProteinKinases
MAP3K8,ProteinKinases
MAP3K9,ProteinKinases
MAP4K1,ProteinKinases
MAP4K2,ProteinKinases
MAP4K3,ProteinKinases
MAP4K4,ProteinKinases
MAP4K5,ProteinKinases
MAPK1,ProteinKinases
MAPK10,ProteinKinases
MAPK11,ProteinKinases
MAPK12,ProteinKinases
MAPK13,ProteinKinases
MAPK14,ProteinKinases
MAPK15,ProteinKinases
MAPK3,ProteinKinases
MAPK4,ProteinKinases
MAPK6,ProteinKinases
MAPK7,ProteinKinases
MAPK8,ProteinKinases
MAPK9,ProteinKinases
MAPKAPK2,ProteinKinases
MAPKAPK3,ProteinKinases
MAPKAPK5,ProteinKinases
MARK1,ProteinKinases
MARK2,ProteinKinases
MARK3,ProteinKinases
MARK4,ProteinKinases
MAST1,ProteinKinases
MAST2,ProteinKinases
MAST3,ProteinKinases
MAST4,ProteinKinases
MASTL,ProteinKinases
MATK,ProteinKinases
MELK,ProteinKinases
MERTK,ProteinKinases
MET,ProteinKinases
MINK1,ProteinKinases
MKNK1,ProteinKinases
MKNK2,ProteinKinases
MLKL,ProteinKinases
MOK,ProteinKinases
MOS,ProteinKinases
MST1R,ProteinKinases
MTOR,ProteinKinases
MUSK,ProteinKinases
MYLK,ProteinKinases
MYLK2,ProteinKinases
MYLK3,ProteinKinases
MYLK4,ProteinKinases
MYO3A,ProteinKinases
MYO3B,ProteinKinases
NEK1,ProteinKinases
NEK10,ProteinKinases
NEK11,ProteinKinases
NEK2,ProteinKinases
NEK3,ProteinKinases
NEK4,ProteinKinases
NEK5,ProteinKinases
NEK6,ProteinKinases
NEK7,ProteinKinases
NEK8,ProteinKinases
NEK9,ProteinKinases
NIM1K,ProteinKinases
NLK,ProteinKinases
NPR1,ProteinKinases
NPR2,ProteinKinases
NRBP1,ProteinKinases
NRBP2,ProteinKinases
NRK,ProteinKinases
NTRK1,ProteinKinases
NTRK2,ProteinKinases
NTRK3,ProteinKinases
NUAK1,ProteinKinases
NUAK2,ProteinKinases
NUMBL,ProteinKinases
OBSCN,ProteinKinases
OXSR1,ProteinKinases
PAK1,ProteinKinases
PAK2,ProteinKinases
PAK3,ProteinKinases
PAK4,ProteinKinases
PAK5,ProteinKinases
PAK6,ProteinKinases
PASK,ProteinKinases
PBK,ProteinKinases
PDGFRA,ProteinKinases
PDGFRB,ProteinKinases
PDIK1L,ProteinKinases
PDK1,ProteinKinases
PDK2,ProteinKinases
PDK3,ProteinKinases
PDK4,ProteinKinases
PDPK1,ProteinKinases
PEAK1,ProteinKinases
PHKG1,ProteinKinases
PHKG2,ProteinKinases
PIK3R4,ProteinKinases
PIM1,ProteinKinases
PIM2,ProteinKinases
PIM3,ProteinKinases
PINK1,ProteinKinases
PKDCC,ProteinKinases
PKMYT1,ProteinKinases
PKN1,ProteinKinases
PKN2,ProteinKinases
PKN3,ProteinKinases
PLK1,ProteinKinases
PLK2,ProteinKinases
PLK3,ProteinKinases
PLK4,ProteinKinases
PNCK,ProteinKinases
PRKAA1,ProteinKinases
PRKAA2,ProteinKinases
PRKACA,ProteinKinases
PRKACB,ProteinKinases
PRKACG,ProteinKinases
PRKCA,ProteinKinases
PRKCB,ProteinKinases
PRKCD,ProteinKinases
PRKCE,ProteinKinases
PRKCG,ProteinKinases
PRKCH,ProteinKinases
PRKCI,ProteinKinases
PRKCQ,ProteinKinases
PRKCZ,ProteinKinases
PRKD1,ProteinKinases
PRKD2,ProteinKinases
PRKD3,ProteinKinases
PRKDC,ProteinKinases
PRKG1,ProteinKinases
PRKG2,ProteinKinases
PRKX,ProteinKinases
PRKY,ProteinKinases
PRPF4B,ProteinKinases
PSKH1,ProteinKinases
PSKH2,ProteinKinases
PTK2,ProteinKinases
PTK2B,ProteinKinases
PTK6,ProteinKinases
PTK7,ProteinKinases
PXK,ProteinKinases
RAF1,ProteinKinases
RET,ProteinKinases
RIOK1,ProteinKinases
RIOK2,ProteinKinases
RIOK3,ProteinKinases
RIPK1,ProteinKinases
RIPK2,ProteinKinases
RIPK3,ProteinKinases
RIPK4,ProteinKinases
RNASEL,ProteinKinases
ROCK1,ProteinKinases
ROCK2,ProteinKinases
ROR1,ProteinKinases
ROR2,ProteinKinases
ROS1,ProteinKinases
RPS6KA1,ProteinKinases
RPS6KA2,ProteinKinases
RPS6KA3,ProteinKinases
RPS6KA4,ProteinKinases
RPS6KA5,ProteinKinases
RPS6KA6,ProteinKinases
RPS6KB1,ProteinKinases
RPS6KB2,ProteinKinases
RPS6KC1,ProteinKinases
RPS6KL1,ProteinKinases
RYK,ProteinKinases
SBK1,ProteinKinases
SBK2,ProteinKinases
SCYL1,ProteinKinases
SCYL2,ProteinKinases
SCYL3,ProteinKinases
SGK1,ProteinKinases
SGK2,ProteinKinases
SGK3,ProteinKinases
SIK1,ProteinKinases
SIK2,ProteinKinases
SIK3,ProteinKinases
SLC22A18,ProteinKinases
SLK,ProteinKinases
SMG1,ProteinKinases
SNRK,ProteinKinases
SPEG,ProteinKinases
SRC,ProteinKinases
SRMS,ProteinKinases
SRPK1,ProteinKinases
SRPK2,ProteinKinases
SRPK3,ProteinKinases
STK10,ProteinKinases
STK11,ProteinKinases
STK16,ProteinKinases
STK17A,ProteinKinases
STK17B,ProteinKinases
STK19,ProteinKinases
STK24,ProteinKinases
STK25,ProteinKinases
STK26,ProteinKinases
STK3,ProteinKinases
STK31,ProteinKinases
STK32A,ProteinKinases
