"","Term","Ont","N","DE","P.DE"
"GO:0019219","regulation of nucleobase-containing compound metabolic process","BP",4140,1102,4.28619169252148e-109
"GO:0090304","nucleic acid metabolic process","BP",5735,1385,1.41587809055072e-108
"GO:0006139","nucleobase-containing compound metabolic process","BP",6411,1484,9.42399264221417e-103
"GO:0051252","regulation of RNA metabolic process","BP",3822,1025,1.09411854476629e-101
"GO:0046483","heterocycle metabolic process","BP",6570,1505,9.42731911909628e-101
"GO:0006725","cellular aromatic compound metabolic process","BP",6615,1506,2.21635474303878e-98
"GO:0097659","nucleic acid-templated transcription","BP",3716,990,1.93885449607078e-95
"GO:0032774","RNA biosynthetic process","BP",3733,993,2.33604011513311e-95
"GO:0006351","transcription, DNA-templated","BP",3668,979,1.23285595685476e-94
"GO:1901360","organic cyclic compound metabolic process","BP",6839,1532,1.69831762458361e-94
"GO:0034654","nucleobase-containing compound biosynthetic process","BP",4278,1089,1.90384155557859e-93
"GO:0018130","heterocycle biosynthetic process","BP",4341,1099,6.96685816157207e-93
"GO:2000112","regulation of cellular macromolecule biosynthetic process","BP",3998,1036,8.63400659463148e-93
"GO:0019438","aromatic compound biosynthetic process","BP",4351,1100,1.43986780784258e-92
"GO:0006366","transcription by RNA polymerase II","BP",2818,808,6.2156812062403e-92
