"","Term","Ont","N","DE","P.DE"
"GO:0019290","siderophore biosynthetic process","BP",1,1,0.00058570870753627
"GO:0009237","siderophore metabolic process","BP",1,1,0.00058570870753627
"GO:0045921","positive regulation of exocytosis","BP",88,2,0.00117061406642228
"GO:0021797","forebrain anterior/posterior pattern specification","BP",4,1,0.00234094855122724
"GO:0045743","positive regulation of fibroblast growth factor receptor signaling pathway","BP",8,1,0.00467687275200501
"GO:1990504","dense core granule exocytosis","BP",9,1,0.00526006989687622
"GO:0046951","ketone body biosynthetic process","BP",9,1,0.00526006989687622
"GO:0046950","cellular ketone body metabolic process","BP",11,1,0.00642552457174339
"GO:0017157","regulation of exocytosis","BP",217,2,0.00687232027347548
"GO:0043697","cell dedifferentiation","BP",12,1,0.00700778240761502
"GO:0043696","dedifferentiation","BP",12,1,0.00700778240761502
"GO:1902224","ketone body metabolic process","BP",12,1,0.00700778240761502
"GO:0006607","NLS-bearing protein import into nucleus","BP",18,1,0.0104947660255086
"GO:0019184","nonribosomal peptide biosynthetic process","BP",19,1,0.0110748374865588
"GO:0016082","synaptic vesicle priming","BP",19,1,0.0110748374865588
"GO:1903589","positive regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis","BP",22,1,0.012813182103329
"GO:0021871","forebrain regionalization","BP",24,1,0.0139705218980314
