"","Term","Ont","N","DE","P.DE"
"GO:0019219","regulation of nucleobase-containing compound metabolic process","BP",4140,1401,1.55828820698557e-92
"GO:0044260","cellular macromolecule metabolic process","BP",8352,2384,3.24512721437194e-85
"GO:0051252","regulation of RNA metabolic process","BP",3822,1295,2.72331100838657e-84
"GO:0034654","nucleobase-containing compound biosynthetic process","BP",4278,1404,1.19901031903193e-81
"GO:0090304","nucleic acid metabolic process","BP",5735,1760,1.78989233976501e-80
"GO:0051171","regulation of nitrogen compound metabolic process","BP",6063,1838,2.69951658849861e-80
"GO:0032774","RNA biosynthetic process","BP",3733,1260,3.03789772145808e-80
"GO:0006351","transcription, DNA-templated","BP",3668,1243,3.33200725492572e-80
"GO:0031323","regulation of cellular metabolic process","BP",6305,1895,3.7739692988323e-80
"GO:0097659","nucleic acid-templated transcription","BP",3716,1255,4.80088371839445e-80
"GO:0018130","heterocycle biosynthetic process","BP",4341,1414,9.99068348586206e-80
