"","Term","Ont","N","DE","P.DE"
"GO:0090304","nucleic acid metabolic process","BP",5735,43,0.0000000052435262857271
"GO:0016070","RNA metabolic process","BP",5206,39,0.0000000641972872432013
"GO:0006139","nucleobase-containing compound metabolic process","BP",6411,43,0.000000190552380822109
"GO:0046483","heterocycle metabolic process","BP",6570,43,0.000000408801132091537
"GO:0006725","cellular aromatic compound metabolic process","BP",6615,43,0.000000504741563467062
"GO:0008380","RNA splicing","BP",469,11,0.000000515686552849918
"GO:0051252","regulation of RNA metabolic process","BP",3822,31,0.000000738391087466001
"GO:0006351","transcription, DNA-templated","BP",3668,30,0.00000105348687422707
"GO:0031323","regulation of cellular metabolic process","BP",6305,41,0.00000133965989157117
"GO:1901360","organic cyclic compound metabolic process","BP",6839,43,0.0000013947608735052
"GO:0097659","nucleic acid-templated transcription","BP",3716,30,0.00000139818238520211
"GO:0032774","RNA biosynthetic process","BP",3733,30,0.00000154364430829364
"GO:0034641","cellular nitrogen compound metabolic process","BP",7161,44,0.00000175443045924514
"GO:0006397","mRNA processing","BP",541,11,0.00000207887396489024
"GO:0043170","macromolecule metabolic process","BP",10507,55,0.00000221610018183999
"GO:0019219","regulation of nucleobase-containing compound metabolic process","BP",4140,31,0.000004350925608355
