"","Term","Ont","N","DE","P.DE"
"GO:0006614","SRP-dependent cotranslational protein targeting to membrane","BP",105,72,1.7173692115501e-51
"GO:0006613","cotranslational protein targeting to membrane","BP",109,73,4.75753858715145e-51
"GO:0045047","protein targeting to ER","BP",118,74,1.22797182845332e-48
"GO:0070972","protein localization to endoplasmic reticulum","BP",147,82,4.07470024241237e-48
"GO:0072599","establishment of protein localization to endoplasmic reticulum","BP",122,74,3.92016447193417e-47
"GO:0046907","intracellular transport","BP",1847,347,8.08881084312584e-47
"GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","BP",120,73,1.22265119581468e-46
"GO:0051649","establishment of localization in cell","BP",2242,392,2.31846537895057e-45
"GO:0051641","cellular localization","BP",2927,471,4.31286306974204e-45
"GO:0006612","protein targeting to membrane","BP",202,83,1.05900796494734e-35
"GO:0006810","transport","BP",5190,677,9.80666808543333e-35
"GO:0008104","protein localization","BP",2765,422,0.00000000000000000000000000000000039320443732152
"GO:0019083","viral transcription","BP",177,75,0.0000000000000000000000000000000018692344055351
"GO:0072657","protein localization to membrane","BP",621,153,0.00000000000000000000000000000000214891365805063
"GO:0051234","establishment of localization","BP",5315,684,0.00000000000000000000000000000000305521385517705
