"","Term","Ont","N","DE","P.DE"
"GO:0006613","cotranslational protein targeting to membrane","BP",109,50,0.00000000000000000000000000000545017438983278
"GO:0006614","SRP-dependent cotranslational protein targeting to membrane","BP",105,49,0.0000000000000000000000000000074934891827179
"GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","BP",120,51,0.000000000000000000000000000134767888214068
"GO:0045047","protein targeting to ER","BP",118,49,0.00000000000000000000000000575906694832523
"GO:0000956","nuclear-transcribed mRNA catabolic process","BP",207,64,0.0000000000000000000000000329039232309646
"GO:0072599","establishment of protein localization to endoplasmic reticulum","BP",122,49,0.0000000000000000000000000357670535803586
"GO:0019083","viral transcription","BP",177,55,0.0000000000000000000000808969699490742
"GO:0006413","translational initiation","BP",193,57,0.000000000000000000000222557528486737
"GO:0070972","protein localization to endoplasmic reticulum","BP",147,49,0.000000000000000000000577140884005574
"GO:0044260","cellular macromolecule metabolic process","BP",8352,728,0.000000000000000000000615109731101089
