"","Term","Ont","N","DE","P.DE"
"GO:0003676","nucleic acid binding","MF",4349,437,0.00000000000000000000000000211105196788362
"GO:0003677","DNA binding","MF",2518,293,0.00000000000000000000000000432841354147826
"GO:1901363","heterocyclic compound binding","MF",6241,570,0.0000000000000000000000000122387683181253
"GO:0097159","organic cyclic compound binding","MF",6328,572,0.000000000000000000000000151100986812303
"GO:0046872","metal ion binding","MF",4189,404,0.00000000000000000000225222685939627
"GO:0043169","cation binding","MF",4279,407,0.0000000000000000000204050703111565
"GO:0043167","ion binding","MF",6218,544,0.0000000000000000000236715338473259
"GO:0003700","DNA-binding transcription factor activity","MF",1699,204,0.0000000000000000000464616969026906
"GO:0140110","transcription regulator activity","MF",2053,229,0.00000000000000000157351128298653
"GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific","MF",1600,191,0.0000000000000000017067128434515
