"","Term","Ont","N","DE","P.DE"
"GO:0003724","RNA helicase activity","MF",78,1,0.00759990426019852
"GO:0035639","purine ribonucleoside triphosphate binding","MF",1813,2,0.00782668877342756
"GO:0032555","purine ribonucleotide binding","MF",1878,2,0.00839811713247858
"GO:0017076","purine nucleotide binding","MF",1891,2,0.00851481859897746
"GO:0032553","ribonucleotide binding","MF",1894,2,0.00854186406377606
"GO:0000166","nucleotide binding","MF",2125,2,0.0107531452932114
"GO:1901265","nucleoside phosphate binding","MF",2126,2,0.0107632706654273
"GO:0097367","carbohydrate derivative binding","MF",2219,2,0.0117257575765373
"GO:0036094","small molecule binding","MF",2503,2,0.0149200480597338
"GO:0004386","helicase activity","MF",163,1,0.0158488424969904
