"","Term","Ont","N","DE","P.DE"
"GO:0005488","binding","MF",15267,1257,0.00000000000000000000000213660627450038
"GO:0003700","DNA-binding transcription factor activity","MF",1699,232,0.000000000000000000000146536775957033
"GO:0046872","metal ion binding","MF",4189,454,0.000000000000000000000203253456017305
"GO:0003674","molecular_function","MF",17697,1388,0.000000000000000000000545566311966908
"GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific","MF",1600,219,0.00000000000000000000211909641860913
"GO:0043169","cation binding","MF",4279,457,0.0000000000000000000029090918045554
"GO:0003677","DNA binding","MF",2518,300,0.0000000000000000000717918657552653
"GO:0043167","ion binding","MF",6218,600,0.00000000000000000243235945367286
"GO:0140110","transcription regulator activity","MF",2053,251,0.00000000000000000657635305571055
"GO:1901363","heterocyclic compound binding","MF",6241,580,0.0000000000000543878346181487
"GO:0097159","organic cyclic compound binding","MF",6328,584,0.000000000000169761363113741
