"","Term","Ont","N","DE","P.DE"
"GO:0004377","GDP-Man:Man3GlcNAc2-PP-Dol alpha-1,2-mannosyltransferase activity","MF",1,1,0.000732135884420226
"GO:0016404","15-hydroxyprostaglandin dehydrogenase (NAD+) activity","MF",2,1,0.0014637714563307
"GO:0016316","phosphatidylinositol-3,4-bisphosphate 4-phosphatase activity","MF",2,1,0.0014637714563307
"GO:0000026","alpha-1,2-mannosyltransferase activity","MF",3,1,0.00219490703322012
"GO:0106017","phosphatidylinositol-3,4-bisphosphate phosphatase activity","MF",3,1,0.00219490703322012
"GO:0004376","glycolipid mannosyltransferase activity","MF",4,1,0.00292554293239022
"GO:0034597","phosphatidylinositol-4,5-bisphosphate 4-phosphatase activity","MF",4,1,0.00292554293239022
"GO:0005087","Ran guanyl-nucleotide exchange factor activity","MF",4,1,0.00292554293239022
"GO:0005515","protein binding","MF",11807,14,0.00308071105305445
"GO:0030618","transforming growth factor beta receptor, pathway-specific cytoplasmic mediator activity","MF",5,1,0.00365567947095757
