"","Term","Ont","N","DE","P.DE"
"GO:0008659","(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase activity","MF",1,0,1
"GO:0047777","(3S)-citramalyl-CoA lyase activity","MF",1,0,1
"GO:0003947","(N-acetylneuraminyl)-galactosylglucosylceramide N-acetylgalactosaminyltransferase activity","MF",1,0,1
"GO:0051990","(R)-2-hydroxyglutarate dehydrogenase activity","MF",1,0,1
"GO:0047305","(R)-3-amino-2-methylpropionate-pyruvate transaminase activity","MF",1,0,1
"GO:0000721","(R,R)-butanediol dehydrogenase activity","MF",1,0,1
"GO:0070626","(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity","MF",1,0,1
"GO:0047298","(S)-3-amino-2-methylpropionate transaminase activity","MF",1,0,1
"GO:0047323","[3-methyl-2-oxobutanoate dehydrogenase (acetyl-transferring)] kinase activity","MF",1,0,1
"GO:0004313","[acyl-carrier-protein] S-acetyltransferase activity","MF",1,0,1
"GO:0033871","[heparan sulfate]-glucosamine 3-sulfotransferase 2 activity","MF",1,0,1
"GO:0030586","[methionine synthase] reductase activity","MF",1,0,1
"GO:0016277","[myelin basic protein]-arginine N-methyltransferase activity","MF",1,0,1
"GO:0102167","[protein]-3-O-(N-acetyl-D-glucosaminyl)-L-serine O-N-acetyl-alpha-D-glucosaminase activity","MF",1,0,1
"GO:0102571","[protein]-3-O-(N-acetyl-D-glucosaminyl)-L-serine/L-threonine O-N-acetyl-alpha-D-glucosaminase activity","MF",1,0,1
"GO:0102166","[protein]-3-O-(N-acetyl-D-glucosaminyl)-L-threonine O-N-acetyl-alpha-D-glucosaminase activity","MF",1,0,1
"GO:0102549","1-18:1-2-16:0-monogalactosyldiacylglycerol lipase activity","MF",1,0,1
