"","Term","Ont","N","DE","P.DE"
"GO:0008528","G protein-coupled peptide receptor activity","MF",146,3,0.0000410096756755681
"GO:0001653","peptide receptor activity","MF",152,3,0.000046242866551945
"GO:0017046","peptide hormone binding","MF",49,2,0.000249090229190445
"GO:0004692","cGMP-dependent protein kinase activity","MF",2,1,0.000975966759580227
"GO:0004991","parathyroid hormone receptor activity","MF",2,1,0.000975966759580227
"GO:0042562","hormone binding","MF",102,2,0.00107608363729278
"GO:0004980","melanocyte-stimulating hormone receptor activity","MF",3,1,0.0014636285936328
"GO:0004977","melanocortin receptor activity","MF",6,1,0.00292532891721053
"GO:0060089","molecular transducer activity","MF",1538,4,0.00459832368578817
"GO:0004691","cAMP-dependent protein kinase activity","MF",10,1,0.00487126705399354
"GO:0004690","cyclic nucleotide-dependent protein kinase activity","MF",10,1,0.00487126705399354
"GO:0004983","neuropeptide Y receptor activity","MF",10,1,0.00487126705399354
