"","Term","Ont","N","DE","P.DE"
"GO:0008143","poly(A) binding","MF",24,2,0.00019891976719683
"GO:0070717","poly-purine tract binding","MF",30,2,0.000312537364437462
"GO:0008266","poly(U) RNA binding","MF",30,2,0.000312537364437462
"GO:0008187","poly-pyrimidine tract binding","MF",33,2,0.000378763929568645
"GO:0004692","cGMP-dependent protein kinase activity","MF",2,1,0.00175639709580877
"GO:0004980","melanocyte-stimulating hormone receptor activity","MF",3,1,0.00263350267289919
"GO:0003730","mRNA 3'-UTR binding","MF",91,2,0.00285031170764599
"GO:0003727","single-stranded RNA binding","MF",95,2,0.00310139837602199
"GO:0004977","melanocortin receptor activity","MF",6,1,0.00526045434728717
"GO:0008528","G protein-coupled peptide receptor activity","MF",146,2,0.00716030395511028
"GO:0001653","peptide receptor activity","MF",152,2,0.00773891193146682
"GO:0004691","cAMP-dependent protein kinase activity","MF",10,1,0.00875289264582424
"GO:0004690","cyclic nucleotide-dependent protein kinase activity","MF",10,1,0.00875289264582424
